Serial ,Date,User,Tweet
114,2022-06-27 06:47:18+00:00,flyingbeast320,"Is duniya ki sabse badi Bejjati…
3 wide ball phekne ke baad…. Aapki team aapka “baby over” Kara de.
.
Dil se bura lagta hai bhai !!"
115,2022-06-14 14:21:47+00:00,flyingbeast320,Always in our hearts. #SushantSinghRajput #2years https://t.co/Hl0btHAibD
116,2022-06-14 08:03:56+00:00,flyingbeast320,Still one of my fav shows… Shri Jaspal Bhatti ji was a legend.
117,2022-06-13 08:33:00+00:00,flyingbeast320,"NOTHING justifies destruction of public property. 
Hard earned money of Tax Payers !!"
118,2022-06-12 09:39:12+00:00,flyingbeast320,"Yamuna Cleaning Drive.
Extended a hand to these young force of our country. 
Youth should direct their energies towards nation building and self development.
#SwachhBharat @swachhbharat https://t.co/uWpjxPnCfn"
119,2022-06-05 05:38:09+00:00,flyingbeast320,"Everyday we throw tonnes of garbage to our rivers and oceans.
.
A Small effort with my family to clean them this Sunday morning.
#WorldEnvironmentDay2022 https://t.co/yRrDu7sNL9"
120,2022-06-03 05:58:53+00:00,flyingbeast320,#sehLengeThoda he must be covered under “freedom of speech”
121,2022-05-31 18:26:55+00:00,flyingbeast320,"What’s going on.. Now the legend KK ..
ॐ शांति"
122,2022-05-29 14:14:51+00:00,flyingbeast320,"Shocked to hear the news about #sidhumoosewala .
Bhagwan unki atma ko shanti de 🙏"
123,2022-05-25 13:24:20+00:00,flyingbeast320,"Yasin Mallik- “My Lord , I plead Guilty”
.
Shahid Afridi - “Nahi, tu innocent hai… tere ko pata nahi hai… par tu hai”"
124,2022-05-25 10:54:40+00:00,flyingbeast320,"Hum aa rahe hain live Digital Educator Summit mein jahan aap seekhenge online business industry mein jeet kaise haasil karein. Click on the link to reserve your seat now: https://t.co/5yMkkzXKOA
#Ad https://t.co/5zJM9ltQLZ"
125,2022-05-18 09:21:07+00:00,flyingbeast320,"Do Not take pride in the freedom you have given your children, that they do not know anymore what their culture and traditions are !! 
#Modernisation"
126,2022-05-16 08:35:52+00:00,flyingbeast320,"बुद्ध पूर्णिमा की शुभकामनाएँ । भगवान सुख समृद्धि बनाए रखे ।
#BuddhaPurnima2022"
127,2022-05-16 08:32:19+00:00,flyingbeast320,हर हर महादेव । ॐ
128,2022-05-13 17:33:13+00:00,flyingbeast320,"Breaking: after this tweet, Burnol is in shortage in India.
.
Also, after a lot of research, we have decided to do a “अग्निहोत्र” every month.
#Havan"
129,2022-05-13 09:40:11+00:00,flyingbeast320,"Advocate - On August 5, 2019, Kashmir became part of the country”. 
.
Court- “Kashmir has ALWAYS been part of the country. Be Mindful of what language you use!”
Source - @LawBeatInd"
130,2022-05-04 09:24:02+00:00,flyingbeast320,"Second Semester , Day 01
Is sem se roj padhai ..pratigya hai meri…
#DelhiUniversity #Law https://t.co/Tg2RVcVlFv"
131,2022-05-03 06:28:22+00:00,flyingbeast320,@ThePlacardGuy Yeh to bhai mujhe bhi Google karna pada..
132,2022-05-03 05:42:56+00:00,flyingbeast320,"Eid Mubarak to everyone celebrating. 
#EidMubarak"
133,2022-05-03 05:36:15+00:00,flyingbeast320,"अक्षय तृतीया और परशुराम जयंती की सबको हार्दिक शुभकामनाएँ ।
#AkshayTritiya #ParshuramJayanti"
